# x y speed omega solid
6.7262969589e-02 -1.2000000000e+00 2.1012431016e+01 1.3014586663e-74 0
7.5849731664e-02 -1.2000000000e+00 2.1009752635e+01 3.9500962059e-74 0
8.4436493739e-02 -1.2000000000e+00 2.1006993632e+01 6.4881540138e-74 0
9.3023255814e-02 -1.2000000000e+00 2.1004154844e+01 8.8986659246e-74 0
1.0161001789e-01 -1.2000000000e+00 2.1001237106e+01 1.1164759120e-73 0
1.1019677996e-01 -1.2000000000e+00 2.0998241251e+01 1.3269663734e-73 0
1.1878354204e-01 -1.2000000000e+00 2.0995168109e+01 1.5196722305e-73 0
1.2737030411e-01 -1.2000000000e+00 2.0991835279e+01 7.9486882212e-73 0
1.3595706619e-01 -1.2000000000e+00 2.0987349853e+01 4.9331403869e-72 0
1.4454382826e-01 -1.2000000000e+00 2.0982795775e+01 8.7136621078e-72 0
1.5313059034e-01 -1.2000000000e+00 2.0978174375e+01 1.2105346908e-71 0
1.6171735242e-01 -1.2000000000e+00 2.0973486976e+01 1.5077397580e-71 0
1.7030411449e-01 -1.2000000000e+00 2.0968734893e+01 1.7599322766e-71 0
1.7889087657e-01 -1.2000000000e+00 2.0963919430e+01 1.9640952496e-71 0
1.8747763864e-01 -1.2000000000e+00 2.0959041881e+01 2.1172453267e-71 0
1.9606440072e-01 -1.2000000000e+00 2.0953268713e+01 -2.4541975134e-69 0
2.0465116279e-01 -1.2000000000e+00 2.0947083820e+01 -5.4407359211e-69 0
2.1323792487e-01 -1.2000000000e+00 2.0940849448e+01 -7.7398865535e-69 0
2.2182468694e-01 -1.2000000000e+00 2.0934567313e+01 -9.3138544845e-69 0
2.3041144902e-01 -1.2000000000e+00 2.0928239113e+01 -1.0125365908e-68 0
2.3899821109e-01 -1.2000000000e+00 2.0921866529e+01 -1.0137684225e-68 0
2.4758497317e-01 -1.2000000000e+00 2.0915451221e+01 -9.3146254062e-69 0
2.5617173524e-01 -1.2000000000e+00 2.0908852577e+01 3.0976967278e-68 0
2.6475849732e-01 -1.2000000000e+00 2.0901255884e+01 1.9236036837e-67 0
2.7334525939e-01 -1.2000000000e+00 2.0893631783e+01 9.6432296775e-68 0
2.8193202147e-01 -1.2000000000e+00 2.0886388642e+01 1.6802180329e-68 0
2.9051878354e-01 -1.2000000000e+00 2.0879311527e+01 2.1764019909e-68 0
2.9910554562e-01 -1.2000000000e+00 2.0872222146e+01 2.6490432826e-68 0
3.0769230769e-01 -1.2000000000e+00 2.0865122055e+01 3.0973531247e-68 0
3.1627906977e-01 -1.2000000000e+00 2.0858012789e+01 3.5205583969e-68 0
3.2486583184e-01 -1.2000000000e+00 2.0850507957e+01 1.3300937717e-67 0
3.3345259392e-01 -1.2000000000e+00 2.0842390445e+01 3.7025698039e-67 0
3.4203935599e-01 -1.2000000000e+00 2.0834278240e+01 5.9447446227e-67 0
3.5062611807e-01 -1.2000000000e+00 2.0852349382e+01 6.3579260000e-67 0
3.5921288014e-01 -1.2000000000e+00 2.0843891919e+01 5.3748291674e-67 0
3.6779964222e-01 -1.2000000000e+00 2.0835440545e+01 -6.6627486681e-68 0
3.7638640429e-01 -1.2000000000e+00 2.0826997030e+01 -1.9569000384e-66 0
3.8497316637e-01 -1.2000000000e+00 2.0818563117e+01 -7.0896057863e-66 0
3.9355992844e-01 -1.2000000000e+00 2.0809763190e+01 -1.7007291555e-64 0
4.0214669052e-01 -1.2000000000e+00 2.0800474950e+01 -5.3563095266e-64 0
4.1073345259e-01 -1.2000000000e+00 2.0791212095e+01 -9.2106109255e-64 0
4.1932021467e-01 -1.2000000000e+00 2.0781976484e+01 -1.3895037426e-63 0
4.2790697674e-01 -1.2000000000e+00 2.0772769939e+01 -2.0853844482e-63 0
4.3649373882e-01 -1.2000000000e+00 2.0763594250e+01 -3.3316642694e-63 0
4.4508050089e-01 -1.2000000000e+00 2.0754451170e+01 -5.8355796630e-63 0
4.5366726297e-01 -1.2000000000e+00 2.0745342419e+01 -1.1114763933e-62 0
4.6225402504e-01 -1.2000000000e+00 2.0736126134e+01 -1.8657711815e-62 0
4.7084078712e-01 -1.2000000000e+00 2.0726335222e+01 -2.4238815563e-62 0
4.7942754919e-01 -1.2000000000e+00 2.0716594423e+01 -5.8133966299e-62 0
4.8801431127e-01 -1.2000000000e+00 2.0706905486e+01 -1.4670739837e-61 0
4.9660107335e-01 -1.2000000000e+00 2.0697270120e+01 -3.4107773634e-61 0
5.0518783542e-01 -1.2000000000e+00 2.0687689992e+01 -7.3839476328e-61 0
5.1377459750e-01 -1.2000000000e+00 2.0678166730e+01 -1.5195655534e-60 0
5.2236135957e-01 -1.2000000000e+00 2.0668701919e+01 -3.0145873981e-60 0
5.3094812165e-01 -1.2000000000e+00 2.0659297106e+01 -5.8129949158e-60 0
5.3953488372e-01 -1.2000000000e+00 2.0649567479e+01 -7.8899837712e-60 0
5.4812164580e-01 -1.2000000000e+00 2.0639664962e+01 -1.3434357476e-59 0
