
# Surface 0 of 1 surfaces

# Curve title: ""cylinder_wake_map.dat" using 1:2:(($3 > speed_cap) ? speed_cap : $3)"

# Contour 0, label:        1
 3.99141 -0.412441  0.9 
 4 -0.414238  0.9 

 4  0.422582  0.9 
 3.99141  0.423769  0.9 
 3.98283  0.424973  0.9 
 3.97695  0.425806  0.9 
 3.97424  0.426191  0.9 
 3.96565  0.427424  0.9 
 3.95707  0.428652  0.9 
 3.94848  0.429866  0.9 
 3.93989  0.431059  0.9 
 3.93131  0.432221  0.9 
 3.92272  0.433343  0.9 
 3.9142  0.434409  0.9 
 3.91413  0.434417  0.9 
 3.90555  0.435457  0.9 
 3.89696  0.436434  0.9 
 3.88837  0.437338  0.9 
 3.87979  0.438164  0.9 
 3.8712  0.438905  0.9 
 3.86261  0.439553  0.9 
 3.85403  0.440103  0.9 
 3.84544  0.44055  0.9 
 3.83685  0.44089  0.9 
 3.82826  0.441118  0.9 
 3.81968  0.441231  0.9 
 3.81109  0.441225  0.9 
 3.8025  0.441099  0.9 
 3.79392  0.44085  0.9 
 3.78533  0.440476  0.9 
 3.77674  0.439976  0.9 
 3.76816  0.439348  0.9 
 3.75957  0.438593  0.9 
 3.75098  0.43771  0.9 
 3.7424  0.436701  0.9 
 3.73381  0.435566  0.9 
 3.7259  0.434409  0.9 
 3.72522  0.434312  0.9 
 3.71664  0.432977  0.9 
 3.70805  0.431529  0.9 
 3.69946  0.429971  0.9 
 3.69088  0.42831  0.9 
 3.68229  0.426553  0.9 
 3.67879  0.425806  0.9 
 3.6737  0.424735  0.9 
 3.66512  0.422856  0.9 
 3.65653  0.420906  0.9 
 3.64794  0.418895  0.9 
 3.64088  0.417204  0.9 
 3.63936  0.416842  0.9 
 3.63077  0.414784  0.9 
 3.62218  0.412698  0.9 
 3.6136  0.410593  0.9 
 3.60549  0.408602  0.9 
 3.60501  0.408485  0.9 
 3.59642  0.406414  0.9 
 3.58784  0.404357  0.9 
 3.57925  0.402323  0.9 
 3.57066  0.40032  0.9 
 3.56925  0.4  0.9 
 3.56208  0.398382  0.9 
 3.55349  0.396495  0.9 
 3.5449  0.394659  0.9 
 3.53631  0.39288  0.9 
 3.5289  0.391398  0.9 
 3.52773  0.391165  0.9 
 3.51914  0.389536  0.9 
 3.51055  0.387973  0.9 
 3.50197  0.386479  0.9 
 3.49338  0.385055  0.9 
 3.48479  0.383701  0.9 
 3.47873  0.382796  0.9 
 3.47621  0.382425  0.9 
 3.46762  0.381234  0.9 
 3.45903  0.380114  0.9 
 3.45045  0.379065  0.9 
 3.44186  0.378087  0.9 
 3.43327  0.37718  0.9 
 3.42469  0.376342  0.9 
 3.4161  0.375574  0.9 
 3.40751  0.374875  0.9 
 3.39893  0.374245  0.9 
 3.39814  0.374194  0.9 
 3.39034  0.373692  0.9 
 3.38175  0.373207  0.9 
 3.37317  0.372788  0.9 
 3.36458  0.372437  0.9 
 3.35599  0.372152  0.9 
 3.34741  0.371934  0.9 
 3.33882  0.371782  0.9 
 3.33023  0.371697  0.9 
 3.32165  0.37168  0.9 
 3.31306  0.371729  0.9 
 3.30447  0.371847  0.9 
 3.29589  0.372033  0.9 
 3.2873  0.372287  0.9 
 3.27871  0.37261  0.9 
 3.27013  0.373003  0.9 
 3.26154  0.373466  0.9 
 3.25295  0.373999  0.9 
 3.2502  0.374194  0.9 
 3.24436  0.37461  0.9 
 3.23578  0.375297  0.9 
 3.22719  0.376054  0.9 
 3.2186  0.376881  0.9 
 3.21002  0.377776  0.9 
 3.20143  0.378738  0.9 
 3.19284  0.379763  0.9 
 3.18426  0.380848  0.9 
 3.17567  0.381988  0.9 
 3.16986  0.382796  0.9 
 3.16708  0.383186  0.9 
 3.1585  0.384445  0.9 
 3.14991  0.38574  0.9 
 3.14132  0.387063  0.9 
 3.13274  0.388402  0.9 
 3.12415  0.389747  0.9 
 3.11556  0.391085  0.9 
 3.11356  0.391398  0.9 
 3.10698  0.392434  0.9 
 3.09839  0.39376  0.9 
 3.0898  0.395043  0.9 
 3.08122  0.396269  0.9 
 3.07263  0.397424  0.9 
 3.06404  0.398497  0.9 
 3.05546  0.399475  0.9 
 3.05033  0.4  0.9 
 3.04687  0.400362  0.9 
 3.03828  0.401152  0.9 
 3.0297  0.401816  0.9 
 3.02111  0.402343  0.9 
 3.01252  0.402726  0.9 
 3.00394  0.402959  0.9 
 2.99535  0.403033  0.9 
 2.98676  0.402945  0.9 
 2.97818  0.402688  0.9 


# Contour 3, label:     0.85
 3.37317 -0.103078  0.85 
 3.3677 -0.107527  0.85 
 3.36959 -0.116129  0.85 
 3.37317 -0.117906  0.85 
 3.38175 -0.119083  0.85 
