# x y r theta psi omega ur utheta ux uy speed
9.2750362793e-03 0.0000000000e+00 9.2750362793e-03 0.0000000000e+00 -3.1532176135e-05 -1.0752389204e+01 -1.9169915094e+01 6.0390406845e-03 -1.9169915094e+01 6.0390406845e-03 1.9169916045e+01
9.5507853009e-03 0.0000000000e+00 9.5507853009e-03 0.0000000000e+00 -3.3172245996e-05 -1.1253747285e+01 -1.9937573283e+01 5.8574399270e-03 -1.9937573283e+01 5.8574399270e-03 1.9937574143e+01
9.8436757052e-03 0.0000000000e+00 9.8436757052e-03 0.0000000000e+00 -3.4859757203e-05 -1.1761551132e+01 -2.0720031185e+01 5.6667908174e-03 -2.0720031185e+01 5.6667908174e-03 2.0720031960e+01
1.0154773052e-02 0.0000000000e+00 1.0154773052e-02 0.0000000000e+00 -3.6591359349e-05 -1.2273448938e+01 -2.1514745960e+01 5.4662427074e-03 -2.1514745960e+01 5.4662427074e-03 2.1514746655e+01
1.0485209138e-02 0.0000000000e+00 1.0485209138e-02 0.0000000000e+00 -3.8362551969e-05 -1.2787041213e+01 -2.2317869558e+01 5.2542623480e-03 -2.2317869558e+01 5.2542623480e-03 2.2317870177e+01
1.0836186119e-02 0.0000000000e+00 1.0836186119e-02 0.0000000000e+00 -4.0167196388e-05 -1.3299952058e+01 -2.3123743528e+01 5.0282675261e-03 -2.3123743528e+01 5.0282675261e-03 2.3123744075e+01
1.1208980876e-02 0.0000000000e+00 1.1208980876e-02 0.0000000000e+00 -4.1996763021e-05 -1.3809771831e+01 -2.3924253347e+01 4.7842473011e-03 -2.3924253347e+01 4.7842473011e-03 2.3924253825e+01
1.1604949669e-02 0.0000000000e+00 1.1604949669e-02 0.0000000000e+00 -4.3839251464e-05 -1.4313831440e+01 -2.4708038945e+01 4.5164782104e-03 -2.4708038945e+01 4.5164782104e-03 2.4708039358e+01
1.2025533065e-02 0.0000000000e+00 1.2025533065e-02 0.0000000000e+00 -4.5677767585e-05 -1.4808817566e+01 -2.5459590451e+01 4.2174868102e-03 -2.5459590451e+01 4.2174868102e-03 2.5459590801e+01
1.2472261181e-02 0.0000000000e+00 1.2472261181e-02 0.0000000000e+00 -4.7488830982e-05 -1.5290298898e+01 -2.6158317905e+01 3.8784313743e-03 -2.6158317905e+01 3.8784313743e-03 2.6158318193e+01
1.2946759250e-02 0.0000000000e+00 1.2946759250e-02 0.0000000000e+00 -4.9240622440e-05 -1.5752287324e+01 -2.6777779954e+01 3.4900627355e-03 -2.6777779954e+01 3.4900627355e-03 2.6777780182e+01
1.3450753537e-02 0.0000000000e+00 1.3450753537e-02 0.0000000000e+00 -5.0891554755e-05 -1.6186988034e+01 -2.7285389008e+01 3.0443475002e-03 -2.7285389008e+01 3.0443475002e-03 2.7285389178e+01
1.3986077613e-02 0.0000000000e+00 1.3986077613e-02 0.0000000000e+00 -5.2389721904e-05 -1.6584890126e+01 -2.7643052091e+01 2.5366520826e-03 -2.7643052091e+01 2.5366520826e-03 2.7643052208e+01
1.4554679032e-02 0.0000000000e+00 1.4554679032e-02 0.0000000000e+00 -5.3673852753e-05 -1.6935304745e+01 -2.7809277665e+01 1.9680606889e-03 -2.7809277665e+01 1.9680606889e-03 2.7809277735e+01
