# x y speed omega solid
6.4721448468e-02 -4.5000000000e-02 2.0236242017e+01 -2.8702768861e-01 0
6.5222841226e-02 -4.5000000000e-02 2.0229781624e+01 -5.5792512260e-01 0
6.5724233983e-02 -4.5000000000e-02 2.0223479491e+01 -8.4036720916e-01 0
6.6225626741e-02 -4.5000000000e-02 2.0217333700e+01 -1.1342202624e+00 0
6.6727019499e-02 -4.5000000000e-02 2.0211516868e+01 -1.4262468552e+00 0
6.7228412256e-02 -4.5000000000e-02 2.0206181423e+01 -1.6940103252e+00 0
6.7729805014e-02 -4.5000000000e-02 2.0200976678e+01 -1.9584175562e+00 0
6.8231197772e-02 -4.5000000000e-02 2.0195838465e+01 -2.1358359374e+00 0
6.8732590529e-02 -4.5000000000e-02 2.0190368031e+01 -1.6864159629e+00 0
6.9233983287e-02 -4.5000000000e-02 2.0185038402e+01 -1.2382034073e+00 0
6.9735376045e-02 -4.5000000000e-02 2.0179847848e+01 -7.9117891633e-01 0
7.0236768802e-02 -4.5000000000e-02 2.0174794661e+01 -3.4532349505e-01 0
7.0738161560e-02 -4.5000000000e-02 2.0169877154e+01 9.9381499065e-02 0
7.1239554318e-02 -4.5000000000e-02 2.0165093660e+01 5.4295436290e-01 0
7.1740947075e-02 -4.5000000000e-02 2.0160442532e+01 9.8541305433e-01 0
7.2242339833e-02 -4.5000000000e-02 2.0155982999e+01 1.4211599740e+00 0
7.2743732591e-02 -4.5000000000e-02 2.0151931495e+01 1.8193527895e+00 0
7.3245125348e-02 -4.5000000000e-02 2.0148000813e+01 2.1990129180e+00 0
7.3746518106e-02 -4.5000000000e-02 2.0144189467e+01 2.5603671483e+00 0
7.4247910864e-02 -4.5000000000e-02 2.0140495989e+01 2.9036394171e+00 0
7.4749303621e-02 -4.5000000000e-02 2.0136918927e+01 3.2290508280e+00 0
7.5250696379e-02 -4.5000000000e-02 2.0133456853e+01 3.5368196718e+00 0
7.5752089136e-02 -4.5000000000e-02 2.0130411056e+01 2.9598611438e+00 0
7.6253481894e-02 -4.5000000000e-02 2.0127507945e+01 2.2731297949e+00 0
7.6754874652e-02 -4.5000000000e-02 2.0124698832e+01 1.6120911459e+00 0
7.7256267409e-02 -4.5000000000e-02 2.0121982565e+01 9.7643179239e-01 0
7.7757660167e-02 -4.5000000000e-02 2.0119358004e+01 3.6584241634e-01 0
7.8259052925e-02 -4.5000000000e-02 2.0116927263e+01 -2.1558279297e-01 0
7.8760445682e-02 -4.5000000000e-02 2.0114647786e+01 -7.6019872388e-01 0
7.9261838440e-02 -4.5000000000e-02 2.0112441436e+01 -1.2691502897e+00 0
7.9763231198e-02 -4.5000000000e-02 2.0110307317e+01 -1.7428684613e+00 0
8.0264623955e-02 -4.5000000000e-02 2.0108244544e+01 -2.1817785398e+00 0
8.0766016713e-02 -4.5000000000e-02 2.0106252244e+01 -2.5863002147e+00 0
8.1267409471e-02 -4.5000000000e-02 2.0104329558e+01 -2.9568476212e+00 0
8.1768802228e-02 -4.5000000000e-02 2.0102475635e+01 -3.2938294001e+00 0
8.2270194986e-02 -4.5000000000e-02 2.0100689639e+01 -3.5976487559e+00 0
8.2771587744e-02 -4.5000000000e-02 2.0098970743e+01 -3.8687035176e+00 0
8.3272980501e-02 -4.5000000000e-02 2.0097318133e+01 -4.1073861984e+00 0
8.3774373259e-02 -4.5000000000e-02 2.0095570352e+01 -4.0035062747e+00 0
8.4275766017e-02 -4.5000000000e-02 2.0093587210e+01 -3.2061789834e+00 0
8.4777158774e-02 -4.5000000000e-02 2.0091750499e+01 -2.4675374036e+00 0
8.5278551532e-02 -4.5000000000e-02 2.0090008478e+01 -1.7781928736e+00 0
8.5779944290e-02 -4.5000000000e-02 2.0088360010e+01 -1.1375596050e+00 0
8.6281337047e-02 -4.5000000000e-02 2.0086803974e+01 -5.4505970482e-01 0
8.6782729805e-02 -4.5000000000e-02 2.0085339265e+01 -1.2307806891e-04 0
8.7284122563e-02 -4.5000000000e-02 2.0083964792e+01 4.9781266835e-01 0
8.7785515320e-02 -4.5000000000e-02 2.0082679482e+01 9.4930232221e-01 0
8.8286908078e-02 -4.5000000000e-02 2.0081482273e+01 1.3548931620e+00 0
8.8788300836e-02 -4.5000000000e-02 2.0080372120e+01 1.7151250527e+00 0
8.9289693593e-02 -4.5000000000e-02 2.0079347992e+01 2.0305305413e+00 0
8.9791086351e-02 -4.5000000000e-02 2.0078408870e+01 2.3016349514e+00 0
9.0292479109e-02 -4.5000000000e-02 2.0077553753e+01 2.5289564778e+00 0
