# x y rho u v p
0.3937500000 0.0012500000 0.6343573470 0.5131907726 0.0000000000 0.5297223102
0.3962500000 0.0012500000 0.6283560625 0.5234182077 0.0000000000 0.5227430969
0.3987500000 0.0012500000 0.6223884000 0.5336664274 0.0000000000 0.5158290735
0.4012500000 0.0012500000 0.6164547866 0.5439347213 0.0000000000 0.5089804380
0.4037500000 0.0012500000 0.6105556170 0.5542224113 0.0000000000 0.5021973434
0.4062500000 0.0012500000 0.6046912554 0.5645288485 0.0000000000 0.4954799009
0.4087500000 0.0012500000 0.5988620386 0.5748534100 0.0000000000 0.4888281837
0.4112500000 0.0012500000 0.5930682780 0.5851954958 0.0000000000 0.4822422306
0.4137500000 0.0012500000 0.5873102625 0.5955545257 0.0000000000 0.4757220487
0.4162500000 0.0012500000 0.5815882605 0.6059299353 0.0000000000 0.4692676175
0.4187500000 0.0012500000 0.5759025227 0.6163211726 0.0000000000 0.4628788913
0.4212500000 0.0012500000 0.5702532848 0.6267276937 0.0000000000 0.4565558034
0.4237500000 0.0012500000 0.5646407702 0.6371489581 0.0000000000 0.4502982689
0.4262500000 0.0012500000 0.5590651932 0.6475844232 0.0000000000 0.4441061889
0.4287500000 0.0012500000 0.5535267621 0.6580335378 0.0000000000 0.4379794538
0.4312500000 0.0012500000 0.5480256834 0.6684957352 0.0000000000 0.4319179486
0.4337500000 0.0012500000 0.5425621662 0.6789704233 0.0000000000 0.4259215571
0.4362500000 0.0012500000 0.5371364276 0.6894569737 0.0000000000 0.4199901683
0.4387500000 0.0012500000 0.5317486993 0.6999547077 0.0000000000 0.4141236829
0.4412500000 0.0012500000 0.5263992356 0.7104628788 0.0000000000 0.4083220221
0.4437500000 0.0012500000 0.5210883232 0.7209806494 0.0000000000 0.4025851377
0.4462500000 0.0012500000 0.5158162947 0.7315070624 0.0000000000 0.3969130256
0.4487500000 0.0012500000 0.5105835451 0.7420410018 0.0000000000 0.3913057427
0.4512500000 0.0012500000 0.5053905536 0.7525811421 0.0000000000 0.3857634292
0.4537500000 0.0012500000 0.5002379136 0.7631258790 0.0000000000 0.3802863380
0.4562500000 0.0012500000 0.4951263728 0.7736732353 0.0000000000 0.3748748750
0.4587500000 0.0012500000 0.4900568880 0.7842207299 0.0000000000 0.3695296543
0.4612500000 0.0012500000 0.4850307037 0.7947651944 0.0000000000 0.3642515752
0.4637500000 0.0012500000 0.4800494622 0.8053025088 0.0000000000 0.3590419326
0.4662500000 0.0012500000 0.4751153659 0.8158272175 0.0000000000 0.3539025764
0.4687500000 0.0012500000 0.4702314162 0.8263319567 0.0000000000 0.3488361493
0.4712500000 0.0012500000 0.4654017774 0.8368065853 0.0000000000 0.3438464452
0.4737500000 0.0012500000 0.4606323398 0.8472368344 0.0000000000 0.3389389658
0.4762500000 0.0012500000 0.4559316138 0.8576021591 0.0000000000 0.3341218026
0.4787500000 0.0012500000 0.4513121833 0.8678722414 0.0000000000 0.3294070686
0.4812500000 0.0012500000 0.4467931170 0.8780011709 0.0000000000 0.3248132732
0.4837500000 0.0012500000 0.4424040373 0.8879176068 0.0000000000 0.3203693246
0.4862500000 0.0012500000 0.4381919958 0.8975081018 0.0000000000 0.3161212862
