# step time[s] dt[s] max_speed[m/s] max_vorticity[1/s] max_delta_omega poisson_iters
2920 4.1699624789e-03 1.4280693421e-06 4.0157964333e+01 1.1424761051e+05 2.0429526804e+01 1
2960 4.2270852525e-03 1.4280693421e-06 4.0156771960e+01 1.1393461348e+05 2.0232285975e+01 1
3000 4.2842080262e-03 1.4280693421e-06 4.0155517920e+01 1.1363076951e+05 1.9859490525e+01 1
3040 4.3413307999e-03 1.4280693421e-06 4.0154201715e+01 1.1333562977e+05 1.9589565425e+01 1
3080 4.3984535736e-03 1.4280693421e-06 4.0152823089e+01 1.1304897318e+05 1.9327571332e+01 1
3120 4.4555763473e-03 1.4280693421e-06 4.0151381063e+01 1.1277028514e+05 1.9073030199e+01 1
3160 4.5126991209e-03 1.4280693421e-06 4.0149877216e+01 1.1249974125e+05 1.8827080381e+01 1
3200 4.5698218946e-03 1.4280693421e-06 4.0148310709e+01 1.1223686405e+05 1.8541861211e+01 1
3240 4.6269446683e-03 1.4280693421e-06 4.0146681468e+01 1.1198138861e+05 1.8356466056e+01 1
3280 4.6840674420e-03 1.4280693421e-06 4.0144989989e+01 1.1173293467e+05 1.8132829440e+01 1
3320 4.7411902157e-03 1.4280693421e-06 4.0144419051e+01 1.1149116174e+05 1.7914224751e+01 1
3360 4.7983129894e-03 1.4280693421e-06 4.0143873731e+01 1.1125625109e+05 1.7703548271e+01 1
3400 4.8554357630e-03 1.4280693421e-06 4.0143299411e+01 1.1102787988e+05 1.7495409662e+01 1
3440 4.9125585367e-03 1.4280693421e-06 4.0142696303e+01 1.1080560433e+05 1.7298937795e+01 1
3480 4.9696813104e-03 1.4280693421e-06 4.0142064151e+01 1.1058933621e+05 1.7105770818e+01 1
3520 5.0268040841e-03 1.4280693421e-06 4.0141402239e+01 1.1037873706e+05 1.6917023690e+01 1
3560 5.0839268578e-03 1.4280693421e-06 4.0140711703e+01 1.1019044809e+05 1.6729336863e+01 1
3600 5.1410496315e-03 1.4280693421e-06 4.0139992188e+01 1.1000743205e+05 1.6562007179e+01 1
3640 5.1981724051e-03 1.4280693421e-06 4.0139243561e+01 1.0982937889e+05 1.6394792996e+01 1
3680 5.2552951788e-03 1.4280693421e-06 4.0138465257e+01 1.0965601824e+05 1.6230874705e+01 1
3720 5.3124179525e-03 1.4280693421e-06 4.0137658457e+01 1.0948754231e+05 1.6067652062e+01 1
3760 5.3695407262e-03 1.4280693421e-06 4.0136822933e+01 1.0932350602e+05 1.5917729845e+01 1
3800 5.4266634999e-03 1.4280693421e-06 4.0135958116e+01 1.0916368165e+05 1.5815006072e+01 1
3840 5.4837862736e-03 1.4280693421e-06 4.0135065240e+01 1.0900831248e+05 1.5620757769e+01 1
3880 5.5409090472e-03 1.4280693421e-06 4.0134143866e+01 1.0885710054e+05 1.5476104543e+01 1
3920 5.5980318209e-03 1.4280693421e-06 4.0133194439e+01 1.0870979970e+05 1.5339289968e+01 1
3960 5.6551545946e-03 1.4280693421e-06 4.0132216494e+01 1.0856625830e+05 1.5200512845e+01 1
4000 5.7122773683e-03 1.4280693421e-06 4.0131211398e+01 1.0842659364e+05 1.5072019167e+01 1
4040 5.7694001420e-03 1.4280693421e-06 4.0130178734e+01 1.0829064616e+05 1.4942523920e+01 1
4080 5.8265229157e-03 1.4280693421e-06 4.0129119050e+01 1.0815815878e+05 1.4818136349e+01 1
4120 5.8836456893e-03 1.4280693421e-06 4.0128031996e+01 1.0802901274e+05 1.4694998454e+01 1
4160 5.9407684630e-03 1.4280693421e-06 4.0126918835e+01 1.0790336555e+05 1.4573834688e+01 1
4200 5.9978912367e-03 1.4280693421e-06 4.0125779626e+01 1.0778089036e+05 1.4460179362e+01 1
4240 6.0550140104e-03 1.4280693421e-06 4.0124614109e+01 1.0766146998e+05 1.4344982004e+01 1
4280 6.1121367841e-03 1.4280693421e-06 4.0123423550e+01 1.0754525362e+05 1.4230719836e+01 1
4320 6.1692595578e-03 1.4280693421e-06 4.0122208069e+01 1.0743195085e+05 1.4127968448e+01 1
4360 6.2263823314e-03 1.4280693421e-06 4.0120967480e+01 1.0732144282e+05 1.4019282067e+01 1
4400 6.2835051051e-03 1.4280693421e-06 4.0119703054e+01 1.0721387302e+05 1.3915259785e+01 1
4440 6.3406278788e-03 1.4280693421e-06 4.0118414965e+01 1.0710898753e+05 1.3819216714e+01 1
4480 6.3977506525e-03 1.4280693421e-06 4.0117103092e+01 1.0700665733e+05 1.3724505380e+01 1
4520 6.4548734262e-03 1.4280693421e-06 4.0115777937e+01 1.0690702318e+05 1.3661932896e+01 1
4560 6.5119961999e-03 1.4280693421e-06 4.0115237964e+01 1.0680987591e+05 1.3531922438e+01 1
4600 6.5691189735e-03 1.4280693421e-06 4.0114684340e+01 1.0671505911e+05 1.3473990558e+01 1
4640 6.6262417472e-03 1.4280693421e-06 4.0114117901e+01 1.0662272726e+05 1.3432447863e+01 1
4680 6.6833645209e-03 1.4280693421e-06 4.0113538544e+01 1.0653269274e+05 1.3264368550e+01 1
4720 6.7404872946e-03 1.4280693421e-06 4.0112945937e+01 1.0644479566e+05 1.3212185490e+01 1
4760 6.7976100683e-03 1.4280693421e-06 4.0112340891e+01 1.0635919847e+05 1.3107253852e+01 1
4800 6.8547328419e-03 1.4280693421e-06 4.0111723349e+01 1.0627569271e+05 1.3015004179e+01 1
4840 6.9118556156e-03 1.4280693421e-06 4.0111092996e+01 1.0619417479e+05 1.2938790178e+01 1
4880 6.9689783893e-03 1.4280693421e-06 4.0110450638e+01 1.0611477078e+05 1.2852313193e+01 1
4920 7.0261011630e-03 1.4280693421e-06 4.0109796237e+01 1.0603728841e+05 1.2782339197e+01 1
4960 7.0832239367e-03 1.4280693421e-06 4.0109129508e+01 1.0596164943e+05 1.2705187936e+01 1
5000 7.1403467104e-03 1.4280693421e-06 4.0108451239e+01 1.0588795620e+05 1.2631324080e+01 1
5040 7.1974694840e-03 1.4280693421e-06 4.0107761412e+01 1.0581603344e+05 1.2565098174e+01 1
5080 7.2545922577e-03 1.4280693421e-06 4.0107059772e+01 1.0574581715e+05 1.2493951230e+01 1
5120 7.3117150314e-03 1.4280693421e-06 4.0106347092e+01 1.0567739595e+05 1.2425717245e+01 1
5160 7.3688378051e-03 1.4280693421e-06 4.0105623368e+01 1.0561060788e+05 1.2362064378e+01 1
5200 7.4259605788e-03 1.4280693421e-06 4.0104888371e+01 1.0554539895e+05 1.2296368271e+01 1
5240 7.4830833525e-03 1.4280693421e-06 4.0104142854e+01 1.0548184739e+05 1.2232576816e+01 1
5280 7.5402061261e-03 1.4280693421e-06 4.0103386828e+01 1.0541980428e+05 1.2172029797e+01 1
5320 7.5973288998e-03 1.4280693421e-06 4.0102620084e+01 1.0535922266e+05 1.2111135422e+01 1
5360 7.6544516735e-03 1.4280693421e-06 4.0101843358e+01 1.0530017253e+05 1.2051493067e+01 1
5400 7.7115744472e-03 1.4280693421e-06 4.0101056384e+01 1.0524246686e+05 1.2035432334e+01 1
5440 7.7686972209e-03 1.4280693421e-06 4.0100259750e+01 1.0518623638e+05 1.1936132030e+01 1
5480 7.8258199946e-03 1.4280693421e-06 4.0099453537e+01 1.0513132786e+05 1.1881673162e+01 1
5520 7.8829427682e-03 1.4280693421e-06 4.0098637550e+01 1.0507769677e+05 1.1824473391e+01 1
5560 7.9400655419e-03 1.4280693421e-06 4.0097812484e+01 1.0502541220e+05 1.1771550715e+01 1
5600 7.9971883156e-03 1.4280693421e-06 4.0096978373e+01 1.0497435511e+05 1.1722066561e+01 1
5640 8.0543110893e-03 1.4280693421e-06 4.0096135050e+01 1.0492448598e+05 1.1670559209e+01 1
5680 8.1114338630e-03 1.4280693421e-06 4.0095283187e+01 1.0487586137e+05 1.1620514355e+01 1
5720 8.1685566367e-03 1.4280693421e-06 4.0094422821e+01 1.0482837300e+05 1.1572886671e+01 1
5760 8.2256794103e-03 1.4280693421e-06 4.0093553729e+01 1.0478199728e+05 1.1558910546e+01 1
5800 8.2828021840e-03 1.4280693421e-06 4.0092676754e+01 1.0473675245e+05 1.1477429281e+01 1
5840 8.3399249577e-03 1.4280693421e-06 4.0091791479e+01 1.0469254235e+05 1.1432758490e+01 1
5880 8.3970477314e-03 1.4280693421e-06 4.0090898530e+01 1.0464942928e+05 1.1384540305e+01 1
5920 8.4541705051e-03 1.4280693421e-06 4.0089997941e+01 1.0460731763e+05 1.1343240522e+01 1
5960 8.5112932788e-03 1.4280693421e-06 4.0089089567e+01 1.0456617579e+05 1.1299091502e+01 1
6000 8.5684160524e-03 1.4280693421e-06 4.0088174012e+01 1.0452604817e+05 1.1256612732e+01 1
6040 8.6255388261e-03 1.4280693421e-06 4.0087251308e+01 1.0448684862e+05 1.1216766691e+01 1
